id,event_size,cost_constraint,effort_constraint,time_constraint,alpha,perturbation_level_cost,perturbation_level_effort,perturbation_level_time
105,medium,270,6,9,0.3,catastrofic,pos,catastrofic
106,medium,270,6,9,0.3,catastrofic,no,pos
107,medium,270,6,9,0.3,catastrofic,no,no
108,medium,270,6,9,0.3,catastrofic,no,low_neg
109,medium,270,6,9,0.3,catastrofic,no,high_neg
110,medium,270,6,9,0.3,catastrofic,no,catastrofic
111,medium,270,6,9,0.3,catastrofic,low_neg,pos
112,medium,270,6,9,0.3,catastrofic,low_neg,no
113,medium,270,6,9,0.3,catastrofic,low_neg,low_neg
114,medium,270,6,9,0.3,catastrofic,low_neg,high_neg
115,medium,270,6,9,0.3,catastrofic,low_neg,catastrofic
116,medium,270,6,9,0.3,catastrofic,high_neg,pos
117,medium,270,6,9,0.3,catastrofic,high_neg,no
118,medium,270,6,9,0.3,catastrofic,high_neg,low_neg
119,medium,270,6,9,0.3,catastrofic,high_neg,high_neg
120,medium,270,6,9,0.3,catastrofic,high_neg,catastrofic
121,medium,270,6,9,0.3,catastrofic,catastrofic,pos
122,medium,270,6,9,0.3,catastrofic,catastrofic,no
123,medium,270,6,9,0.3,catastrofic,catastrofic,low_neg
124,medium,270,6,9,0.3,catastrofic,catastrofic,high_neg
125,medium,270,6,9,0.3,catastrofic,catastrofic,catastrofic
126,medium,270,6,9,0.5,pos,pos,pos
127,medium,270,6,9,0.5,pos,pos,no
128,medium,270,6,9,0.5,pos,pos,low_neg
129,medium,270,6,9,0.5,pos,pos,high_neg
130,medium,270,6,9,0.5,pos,pos,catastrofic
131,medium,270,6,9,0.5,pos,no,pos
132,medium,270,6,9,0.5,pos,no,no
133,medium,270,6,9,0.5,pos,no,low_neg
134,medium,270,6,9,0.5,pos,no,high_neg
135,medium,270,6,9,0.5,pos,no,catastrofic
136,medium,270,6,9,0.5,pos,low_neg,pos
137,medium,270,6,9,0.5,pos,low_neg,no
138,medium,270,6,9,0.5,pos,low_neg,low_neg
139,medium,270,6,9,0.5,pos,low_neg,high_neg
140,medium,270,6,9,0.5,pos,low_neg,catastrofic
141,medium,270,6,9,0.5,pos,high_neg,pos
142,medium,270,6,9,0.5,pos,high_neg,no
143,medium,270,6,9,0.5,pos,high_neg,low_neg
144,medium,270,6,9,0.5,pos,high_neg,high_neg
145,medium,270,6,9,0.5,pos,high_neg,catastrofic
146,medium,270,6,9,0.5,pos,catastrofic,pos
147,medium,270,6,9,0.5,pos,catastrofic,no
148,medium,270,6,9,0.5,pos,catastrofic,low_neg
149,medium,270,6,9,0.5,pos,catastrofic,high_neg
150,medium,270,6,9,0.5,pos,catastrofic,catastrofic
151,medium,270,6,9,0.5,no,pos,pos
152,medium,270,6,9,0.5,no,pos,no
153,medium,270,6,9,0.5,no,pos,low_neg
154,medium,270,6,9,0.5,no,pos,high_neg
155,medium,270,6,9,0.5,no,pos,catastrofic
156,medium,270,6,9,0.5,no,no,pos
157,medium,270,6,9,0.5,no,no,no
158,medium,270,6,9,0.5,no,no,low_neg
159,medium,270,6,9,0.5,no,no,high_neg
160,medium,270,6,9,0.5,no,no,catastrofic
161,medium,270,6,9,0.5,no,low_neg,pos
162,medium,270,6,9,0.5,no,low_neg,no
163,medium,270,6,9,0.5,no,low_neg,low_neg
164,medium,270,6,9,0.5,no,low_neg,high_neg
165,medium,270,6,9,0.5,no,low_neg,catastrofic
166,medium,270,6,9,0.5,no,high_neg,pos
167,medium,270,6,9,0.5,no,high_neg,no
168,medium,270,6,9,0.5,no,high_neg,low_neg
169,medium,270,6,9,0.5,no,high_neg,high_neg
170,medium,270,6,9,0.5,no,high_neg,catastrofic
171,medium,270,6,9,0.5,no,catastrofic,pos
172,medium,270,6,9,0.5,no,catastrofic,no
173,medium,270,6,9,0.5,no,catastrofic,low_neg
174,medium,270,6,9,0.5,no,catastrofic,high_neg
175,medium,270,6,9,0.5,no,catastrofic,catastrofic
176,medium,270,6,9,0.5,low_neg,pos,pos
177,medium,270,6,9,0.5,low_neg,pos,no
178,medium,270,6,9,0.5,low_neg,pos,low_neg
179,medium,270,6,9,0.5,low_neg,pos,high_neg
180,medium,270,6,9,0.5,low_neg,pos,catastrofic
181,medium,270,6,9,0.5,low_neg,no,pos
182,medium,270,6,9,0.5,low_neg,no,no
183,medium,270,6,9,0.5,low_neg,no,low_neg
184,medium,270,6,9,0.5,low_neg,no,high_neg
185,medium,270,6,9,0.5,low_neg,no,catastrofic
186,medium,270,6,9,0.5,low_neg,low_neg,pos
187,medium,270,6,9,0.5,low_neg,low_neg,no
188,medium,270,6,9,0.5,low_neg,low_neg,low_neg
189,medium,270,6,9,0.5,low_neg,low_neg,high_neg
190,medium,270,6,9,0.5,low_neg,low_neg,catastrofic
191,medium,270,6,9,0.5,low_neg,high_neg,pos
192,medium,270,6,9,0.5,low_neg,high_neg,no
193,medium,270,6,9,0.5,low_neg,high_neg,low_neg
194,medium,270,6,9,0.5,low_neg,high_neg,high_neg
195,medium,270,6,9,0.5,low_neg,high_neg,catastrofic
196,medium,270,6,9,0.5,low_neg,catastrofic,pos
197,medium,270,6,9,0.5,low_neg,catastrofic,no
198,medium,270,6,9,0.5,low_neg,catastrofic,low_neg
199,medium,270,6,9,0.5,low_neg,catastrofic,high_neg
200,medium,270,6,9,0.5,low_neg,catastrofic,catastrofic
201,medium,270,6,9,0.5,high_neg,pos,pos
202,medium,270,6,9,0.5,high_neg,pos,no
203,medium,270,6,9,0.5,high_neg,pos,low_neg
204,medium,270,6,9,0.5,high_neg,pos,high_neg
205,medium,270,6,9,0.5,high_neg,pos,catastrofic
206,medium,270,6,9,0.5,high_neg,no,pos
207,medium,270,6,9,0.5,high_neg,no,no
208,medium,270,6,9,0.5,high_neg,no,low_neg
209,medium,270,6,9,0.5,high_neg,no,high_neg
210,medium,270,6,9,0.5,high_neg,no,catastrofic
211,medium,270,6,9,0.5,high_neg,low_neg,pos
212,medium,270,6,9,0.5,high_neg,low_neg,no
213,medium,270,6,9,0.5,high_neg,low_neg,low_neg
214,medium,270,6,9,0.5,high_neg,low_neg,high_neg
215,medium,270,6,9,0.5,high_neg,low_neg,catastrofic
216,medium,270,6,9,0.5,high_neg,high_neg,pos
217,medium,270,6,9,0.5,high_neg,high_neg,no
218,medium,270,6,9,0.5,high_neg,high_neg,low_neg
219,medium,270,6,9,0.5,high_neg,high_neg,high_neg
220,medium,270,6,9,0.5,high_neg,high_neg,catastrofic
221,medium,270,6,9,0.5,high_neg,catastrofic,pos
222,medium,270,6,9,0.5,high_neg,catastrofic,no
223,medium,270,6,9,0.5,high_neg,catastrofic,low_neg
224,medium,270,6,9,0.5,high_neg,catastrofic,high_neg
225,medium,270,6,9,0.5,high_neg,catastrofic,catastrofic
226,medium,270,6,9,0.5,catastrofic,pos,pos
227,medium,270,6,9,0.5,catastrofic,pos,no
228,medium,270,6,9,0.5,catastrofic,pos,low_neg
229,medium,270,6,9,0.5,catastrofic,pos,high_neg
230,medium,270,6,9,0.5,catastrofic,pos,catastrofic
231,medium,270,6,9,0.5,catastrofic,no,pos
232,medium,270,6,9,0.5,catastrofic,no,no
233,medium,270,6,9,0.5,catastrofic,no,low_neg
234,medium,270,6,9,0.5,catastrofic,no,high_neg
235,medium,270,6,9,0.5,catastrofic,no,catastrofic
236,medium,270,6,9,0.5,catastrofic,low_neg,pos
237,medium,270,6,9,0.5,catastrofic,low_neg,no
238,medium,270,6,9,0.5,catastrofic,low_neg,low_neg
239,medium,270,6,9,0.5,catastrofic,low_neg,high_neg
240,medium,270,6,9,0.5,catastrofic,low_neg,catastrofic
241,medium,270,6,9,0.5,catastrofic,high_neg,pos
242,medium,270,6,9,0.5,catastrofic,high_neg,no
243,medium,270,6,9,0.5,catastrofic,high_neg,low_neg
244,medium,270,6,9,0.5,catastrofic,high_neg,high_neg
245,medium,270,6,9,0.5,catastrofic,high_neg,catastrofic
246,medium,270,6,9,0.5,catastrofic,catastrofic,pos
247,medium,270,6,9,0.5,catastrofic,catastrofic,no
248,medium,270,6,9,0.5,catastrofic,catastrofic,low_neg
249,medium,270,6,9,0.5,catastrofic,catastrofic,high_neg
250,medium,270,6,9,0.5,catastrofic,catastrofic,catastrofic
251,medium,270,6,9,0.7,pos,pos,pos
252,medium,270,6,9,0.7,pos,pos,no
253,medium,270,6,9,0.7,pos,pos,low_neg
254,medium,270,6,9,0.7,pos,pos,high_neg
255,medium,270,6,9,0.7,pos,pos,catastrofic
256,medium,270,6,9,0.7,pos,no,pos
257,medium,270,6,9,0.7,pos,no,no
258,medium,270,6,9,0.7,pos,no,low_neg
259,medium,270,6,9,0.7,pos,no,high_neg
260,medium,270,6,9,0.7,pos,no,catastrofic
261,medium,270,6,9,0.7,pos,low_neg,pos
262,medium,270,6,9,0.7,pos,low_neg,no
263,medium,270,6,9,0.7,pos,low_neg,low_neg
264,medium,270,6,9,0.7,pos,low_neg,high_neg
265,medium,270,6,9,0.7,pos,low_neg,catastrofic
266,medium,270,6,9,0.7,pos,high_neg,pos
267,medium,270,6,9,0.7,pos,high_neg,no
268,medium,270,6,9,0.7,pos,high_neg,low_neg
269,medium,270,6,9,0.7,pos,high_neg,high_neg
270,medium,270,6,9,0.7,pos,high_neg,catastrofic
271,medium,270,6,9,0.7,pos,catastrofic,pos
272,medium,270,6,9,0.7,pos,catastrofic,no
273,medium,270,6,9,0.7,pos,catastrofic,low_neg
274,medium,270,6,9,0.7,pos,catastrofic,high_neg
275,medium,270,6,9,0.7,pos,catastrofic,catastrofic
276,medium,270,6,9,0.7,no,pos,pos
277,medium,270,6,9,0.7,no,pos,no
278,medium,270,6,9,0.7,no,pos,low_neg
279,medium,270,6,9,0.7,no,pos,high_neg
280,medium,270,6,9,0.7,no,pos,catastrofic
281,medium,270,6,9,0.7,no,no,pos
282,medium,270,6,9,0.7,no,no,no
283,medium,270,6,9,0.7,no,no,low_neg
284,medium,270,6,9,0.7,no,no,high_neg
285,medium,270,6,9,0.7,no,no,catastrofic
286,medium,270,6,9,0.7,no,low_neg,pos
287,medium,270,6,9,0.7,no,low_neg,no
288,medium,270,6,9,0.7,no,low_neg,low_neg
289,medium,270,6,9,0.7,no,low_neg,high_neg
290,medium,270,6,9,0.7,no,low_neg,catastrofic
291,medium,270,6,9,0.7,no,high_neg,pos
292,medium,270,6,9,0.7,no,high_neg,no
293,medium,270,6,9,0.7,no,high_neg,low_neg
294,medium,270,6,9,0.7,no,high_neg,high_neg
295,medium,270,6,9,0.7,no,high_neg,catastrofic
296,medium,270,6,9,0.7,no,catastrofic,pos
297,medium,270,6,9,0.7,no,catastrofic,no
298,medium,270,6,9,0.7,no,catastrofic,low_neg
299,medium,270,6,9,0.7,no,catastrofic,high_neg
300,medium,270,6,9,0.7,no,catastrofic,catastrofic
301,medium,270,6,9,0.7,low_neg,pos,pos
302,medium,270,6,9,0.7,low_neg,pos,no
303,medium,270,6,9,0.7,low_neg,pos,low_neg
304,medium,270,6,9,0.7,low_neg,pos,high_neg
305,medium,270,6,9,0.7,low_neg,pos,catastrofic
306,medium,270,6,9,0.7,low_neg,no,pos
307,medium,270,6,9,0.7,low_neg,no,no
308,medium,270,6,9,0.7,low_neg,no,low_neg
309,medium,270,6,9,0.7,low_neg,no,high_neg
310,medium,270,6,9,0.7,low_neg,no,catastrofic
311,medium,270,6,9,0.7,low_neg,low_neg,pos
312,medium,270,6,9,0.7,low_neg,low_neg,no
313,medium,270,6,9,0.7,low_neg,low_neg,low_neg
314,medium,270,6,9,0.7,low_neg,low_neg,high_neg
315,medium,270,6,9,0.7,low_neg,low_neg,catastrofic
316,medium,270,6,9,0.7,low_neg,high_neg,pos
317,medium,270,6,9,0.7,low_neg,high_neg,no
318,medium,270,6,9,0.7,low_neg,high_neg,low_neg
319,medium,270,6,9,0.7,low_neg,high_neg,high_neg
320,medium,270,6,9,0.7,low_neg,high_neg,catastrofic
321,medium,270,6,9,0.7,low_neg,catastrofic,pos
322,medium,270,6,9,0.7,low_neg,catastrofic,no
323,medium,270,6,9,0.7,low_neg,catastrofic,low_neg
324,medium,270,6,9,0.7,low_neg,catastrofic,high_neg
325,medium,270,6,9,0.7,low_neg,catastrofic,catastrofic
326,medium,270,6,9,0.7,high_neg,pos,pos
327,medium,270,6,9,0.7,high_neg,pos,no
328,medium,270,6,9,0.7,high_neg,pos,low_neg
329,medium,270,6,9,0.7,high_neg,pos,high_neg
330,medium,270,6,9,0.7,high_neg,pos,catastrofic
331,medium,270,6,9,0.7,high_neg,no,pos
332,medium,270,6,9,0.7,high_neg,no,no
333,medium,270,6,9,0.7,high_neg,no,low_neg
334,medium,270,6,9,0.7,high_neg,no,high_neg
335,medium,270,6,9,0.7,high_neg,no,catastrofic
336,medium,270,6,9,0.7,high_neg,low_neg,pos
337,medium,270,6,9,0.7,high_neg,low_neg,no
338,medium,270,6,9,0.7,high_neg,low_neg,low_neg
339,medium,270,6,9,0.7,high_neg,low_neg,high_neg
340,medium,270,6,9,0.7,high_neg,low_neg,catastrofic
341,medium,270,6,9,0.7,high_neg,high_neg,pos
342,medium,270,6,9,0.7,high_neg,high_neg,no
343,medium,270,6,9,0.7,high_neg,high_neg,low_neg
344,medium,270,6,9,0.7,high_neg,high_neg,high_neg
345,medium,270,6,9,0.7,high_neg,high_neg,catastrofic
346,medium,270,6,9,0.7,high_neg,catastrofic,pos
347,medium,270,6,9,0.7,high_neg,catastrofic,no
348,medium,270,6,9,0.7,high_neg,catastrofic,low_neg
349,medium,270,6,9,0.7,high_neg,catastrofic,high_neg
350,medium,270,6,9,0.7,high_neg,catastrofic,catastrofic
351,medium,270,6,9,0.7,catastrofic,pos,pos
352,medium,270,6,9,0.7,catastrofic,pos,no
353,medium,270,6,9,0.7,catastrofic,pos,low_neg
354,medium,270,6,9,0.7,catastrofic,pos,high_neg
355,medium,270,6,9,0.7,catastrofic,pos,catastrofic
356,medium,270,6,9,0.7,catastrofic,no,pos
357,medium,270,6,9,0.7,catastrofic,no,no
358,medium,270,6,9,0.7,catastrofic,no,low_neg
359,medium,270,6,9,0.7,catastrofic,no,high_neg
360,medium,270,6,9,0.7,catastrofic,no,catastrofic
361,medium,270,6,9,0.7,catastrofic,low_neg,pos
362,medium,270,6,9,0.7,catastrofic,low_neg,no
363,medium,270,6,9,0.7,catastrofic,low_neg,low_neg
364,medium,270,6,9,0.7,catastrofic,low_neg,high_neg
365,medium,270,6,9,0.7,catastrofic,low_neg,catastrofic
366,medium,270,6,9,0.7,catastrofic,high_neg,pos
367,medium,270,6,9,0.7,catastrofic,high_neg,no
368,medium,270,6,9,0.7,catastrofic,high_neg,low_neg
369,medium,270,6,9,0.7,catastrofic,high_neg,high_neg
370,medium,270,6,9,0.7,catastrofic,high_neg,catastrofic
371,medium,270,6,9,0.7,catastrofic,catastrofic,pos
372,medium,270,6,9,0.7,catastrofic,catastrofic,no
373,medium,270,6,9,0.7,catastrofic,catastrofic,low_neg
374,medium,270,6,9,0.7,catastrofic,catastrofic,high_neg
375,medium,270,6,9,0.7,catastrofic,catastrofic,catastrofic
376,medium,270,6,7,0.3,pos,pos,pos
377,medium,270,6,7,0.3,pos,pos,no
378,medium,270,6,7,0.3,pos,pos,low_neg
379,medium,270,6,7,0.3,pos,pos,high_neg
380,medium,270,6,7,0.3,pos,pos,catastrofic
381,medium,270,6,7,0.3,pos,no,pos
382,medium,270,6,7,0.3,pos,no,no
383,medium,270,6,7,0.3,pos,no,low_neg
384,medium,270,6,7,0.3,pos,no,high_neg
385,medium,270,6,7,0.3,pos,no,catastrofic
386,medium,270,6,7,0.3,pos,low_neg,pos
387,medium,270,6,7,0.3,pos,low_neg,no
388,medium,270,6,7,0.3,pos,low_neg,low_neg
389,medium,270,6,7,0.3,pos,low_neg,high_neg
390,medium,270,6,7,0.3,pos,low_neg,catastrofic
391,medium,270,6,7,0.3,pos,high_neg,pos
392,medium,270,6,7,0.3,pos,high_neg,no
393,medium,270,6,7,0.3,pos,high_neg,low_neg
394,medium,270,6,7,0.3,pos,high_neg,high_neg
395,medium,270,6,7,0.3,pos,high_neg,catastrofic
396,medium,270,6,7,0.3,pos,catastrofic,pos
397,medium,270,6,7,0.3,pos,catastrofic,no
398,medium,270,6,7,0.3,pos,catastrofic,low_neg
399,medium,270,6,7,0.3,pos,catastrofic,high_neg
400,medium,270,6,7,0.3,pos,catastrofic,catastrofic
401,medium,270,6,7,0.3,no,pos,pos
402,medium,270,6,7,0.3,no,pos,no
403,medium,270,6,7,0.3,no,pos,low_neg
404,medium,270,6,7,0.3,no,pos,high_neg
405,medium,270,6,7,0.3,no,pos,catastrofic
406,medium,270,6,7,0.3,no,no,pos
407,medium,270,6,7,0.3,no,no,no
408,medium,270,6,7,0.3,no,no,low_neg
409,medium,270,6,7,0.3,no,no,high_neg
410,medium,270,6,7,0.3,no,no,catastrofic
411,medium,270,6,7,0.3,no,low_neg,pos
412,medium,270,6,7,0.3,no,low_neg,no
413,medium,270,6,7,0.3,no,low_neg,low_neg
414,medium,270,6,7,0.3,no,low_neg,high_neg
415,medium,270,6,7,0.3,no,low_neg,catastrofic
416,medium,270,6,7,0.3,no,high_neg,pos
417,medium,270,6,7,0.3,no,high_neg,no
418,medium,270,6,7,0.3,no,high_neg,low_neg
419,medium,270,6,7,0.3,no,high_neg,high_neg
420,medium,270,6,7,0.3,no,high_neg,catastrofic
421,medium,270,6,7,0.3,no,catastrofic,pos
422,medium,270,6,7,0.3,no,catastrofic,no
423,medium,270,6,7,0.3,no,catastrofic,low_neg
424,medium,270,6,7,0.3,no,catastrofic,high_neg
425,medium,270,6,7,0.3,no,catastrofic,catastrofic
426,medium,270,6,7,0.3,low_neg,pos,pos
427,medium,270,6,7,0.3,low_neg,pos,no
428,medium,270,6,7,0.3,low_neg,pos,low_neg
429,medium,270,6,7,0.3,low_neg,pos,high_neg
430,medium,270,6,7,0.3,low_neg,pos,catastrofic
431,medium,270,6,7,0.3,low_neg,no,pos
432,medium,270,6,7,0.3,low_neg,no,no
433,medium,270,6,7,0.3,low_neg,no,low_neg
434,medium,270,6,7,0.3,low_neg,no,high_neg
435,medium,270,6,7,0.3,low_neg,no,catastrofic
436,medium,270,6,7,0.3,low_neg,low_neg,pos
437,medium,270,6,7,0.3,low_neg,low_neg,no
438,medium,270,6,7,0.3,low_neg,low_neg,low_neg
439,medium,270,6,7,0.3,low_neg,low_neg,high_neg
440,medium,270,6,7,0.3,low_neg,low_neg,catastrofic
441,medium,270,6,7,0.3,low_neg,high_neg,pos
442,medium,270,6,7,0.3,low_neg,high_neg,no
443,medium,270,6,7,0.3,low_neg,high_neg,low_neg
444,medium,270,6,7,0.3,low_neg,high_neg,high_neg
445,medium,270,6,7,0.3,low_neg,high_neg,catastrofic
446,medium,270,6,7,0.3,low_neg,catastrofic,pos
447,medium,270,6,7,0.3,low_neg,catastrofic,no
448,medium,270,6,7,0.3,low_neg,catastrofic,low_neg
449,medium,270,6,7,0.3,low_neg,catastrofic,high_neg
450,medium,270,6,7,0.3,low_neg,catastrofic,catastrofic
451,medium,270,6,7,0.3,high_neg,pos,pos
452,medium,270,6,7,0.3,high_neg,pos,no
453,medium,270,6,7,0.3,high_neg,pos,low_neg
454,medium,270,6,7,0.3,high_neg,pos,high_neg
455,medium,270,6,7,0.3,high_neg,pos,catastrofic
456,medium,270,6,7,0.3,high_neg,no,pos
457,medium,270,6,7,0.3,high_neg,no,no
458,medium,270,6,7,0.3,high_neg,no,low_neg
459,medium,270,6,7,0.3,high_neg,no,high_neg
460,medium,270,6,7,0.3,high_neg,no,catastrofic
461,medium,270,6,7,0.3,high_neg,low_neg,pos
462,medium,270,6,7,0.3,high_neg,low_neg,no
463,medium,270,6,7,0.3,high_neg,low_neg,low_neg
464,medium,270,6,7,0.3,high_neg,low_neg,high_neg
465,medium,270,6,7,0.3,high_neg,low_neg,catastrofic
466,medium,270,6,7,0.3,high_neg,high_neg,pos
467,medium,270,6,7,0.3,high_neg,high_neg,no
468,medium,270,6,7,0.3,high_neg,high_neg,low_neg
469,medium,270,6,7,0.3,high_neg,high_neg,high_neg
470,medium,270,6,7,0.3,high_neg,high_neg,catastrofic
471,medium,270,6,7,0.3,high_neg,catastrofic,pos
472,medium,270,6,7,0.3,high_neg,catastrofic,no
473,medium,270,6,7,0.3,high_neg,catastrofic,low_neg
474,medium,270,6,7,0.3,high_neg,catastrofic,high_neg
475,medium,270,6,7,0.3,high_neg,catastrofic,catastrofic
476,medium,270,6,7,0.3,catastrofic,pos,pos
477,medium,270,6,7,0.3,catastrofic,pos,no
478,medium,270,6,7,0.3,catastrofic,pos,low_neg
479,medium,270,6,7,0.3,catastrofic,pos,high_neg
480,medium,270,6,7,0.3,catastrofic,pos,catastrofic
481,medium,270,6,7,0.3,catastrofic,no,pos
482,medium,270,6,7,0.3,catastrofic,no,no
483,medium,270,6,7,0.3,catastrofic,no,low_neg
484,medium,270,6,7,0.3,catastrofic,no,high_neg
485,medium,270,6,7,0.3,catastrofic,no,catastrofic
486,medium,270,6,7,0.3,catastrofic,low_neg,pos
487,medium,270,6,7,0.3,catastrofic,low_neg,no
488,medium,270,6,7,0.3,catastrofic,low_neg,low_neg
489,medium,270,6,7,0.3,catastrofic,low_neg,high_neg
490,medium,270,6,7,0.3,catastrofic,low_neg,catastrofic
491,medium,270,6,7,0.3,catastrofic,high_neg,pos
492,medium,270,6,7,0.3,catastrofic,high_neg,no
493,medium,270,6,7,0.3,catastrofic,high_neg,low_neg
494,medium,270,6,7,0.3,catastrofic,high_neg,high_neg
495,medium,270,6,7,0.3,catastrofic,high_neg,catastrofic
496,medium,270,6,7,0.3,catastrofic,catastrofic,pos
497,medium,270,6,7,0.3,catastrofic,catastrofic,no
498,medium,270,6,7,0.3,catastrofic,catastrofic,low_neg
499,medium,270,6,7,0.3,catastrofic,catastrofic,high_neg
500,medium,270,6,7,0.3,catastrofic,catastrofic,catastrofic
501,medium,270,6,7,0.5,pos,pos,pos
502,medium,270,6,7,0.5,pos,pos,no
503,medium,270,6,7,0.5,pos,pos,low_neg
